sku,sku_name,sku_price
SKU0001,Alpha Smart Charger 20W,"2,499"
SKU0002,Alpha Smart Charger 30W,"2,899"
SKU0003,Nova Wireless Mouse,"1,799"
SKU0004,Nova Ergonomic Wireless Mouse,"2,199"
SKU0005,Pulse Bluetooth Earbuds,"4,999"
SKU0006,Pulse Bluetooth Earbuds Pro,"6,499"
SKU0007,Echo Portable Bluetooth Speaker,"5,999"
SKU0008,Echo Portable Bluetooth Speaker Plus,"7,499"
SKU0009,"Vertex Power Bank 10,000mAh","3,499"
SKU0010,"Vertex Power Bank 20,000mAh","5,999"
SKU0011,Zenith Smartwatch Lite,"8,999"
SKU0012,Zenith Smartwatch,"12,999"
SKU0013,Zenith Smartwatch Pro,"16,999"
SKU0014,Orbit Fitness Band,"6,999"
SKU0015,Orbit Fitness Band Plus,"8,499"
SKU0016,Halo Noise-Cancelling Headphones,"18,999"
SKU0017,Halo Noise-Cancelling Headphones Pro,"24,999"
SKU0018,Apex USB-C Hub (5-in-1),"4,499"
SKU0019,Apex USB-C Hub (8-in-1),"6,999"
SKU0020,Lumos Desk Lamp with Wireless Charging,"9,499"
